Region	RegionUID	OperatingUnit	OperatingUnitUID	CountryName	SNU1	SNU1Uid	PSNU	PSNUuid	CurrentSNUPrioritization	typeMilitary	MechanismUID	PrimePartner	FundingAgency	MechanismID	ImplementingMechanismName	dataElementUID	indicator	numeratorDenom	indicatorType	disaggregate	standardizedDisaggregate	categoryOptionComboUID	categoryOptionComboName	Age	Sex	resultStatus	otherDisaggregate	coarseDisaggregate	modality	isMCAD	FY2015Q2	FY2015Q3	FY2015Q4	FY2015APR	FY2016_TARGETS	FY2016Q1	FY2016Q2	FY2016Q3	FY2016Q4	FY2016APR	FY2017_TARGETS	FY2017Q1	FY2017Q2	FY2017Q3	FY2017Q4	FY2017APR	FY2018_TARGETS	FY2018Q1
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	OWOycjYcnfL	5-9, Female	05-09	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	fmhNx3wJM56	15-17, Female	15-17	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	RJplGDJIgZn	25+, Female	25+	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	FecrNcdlz15	15-17, Female	15-17	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	lQWFC2azD3o	15-17, Male	15-17	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	mhrwJxBi7Lq	5-9, Female	05-09	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	CBVAOp3zVMF	OVC_SERV_UNDER_18	N	DSD	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	hhwznVWhbrN	OVC_SERV	N	DSD	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	bmWa4YL16jG	18-24, Female	18-24	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	pDeOmP3WqDM	1-4, Male	01-04	Male				NULL	N																		
